process;LAS;HAS;Zinc;Nitrogen;Oxigen;Limestone;Dolomite;Burnt Lime;Electricity;FLF;RLF;Gas;Wood;Coal;Charcoal;Coke;Steam;Process Gas;Scrap;Iron Ore ;Sinter;Pellets;Pig Iron (BF, DRI);Liquid Steel;Liquid Steel R;Liquid Steel Alloy (SS);Liquid Steel HSLA;Intermediate Process 1;Intermediate Process 2;Raw Products (types);Intermediate Process 3;Intermediate Process 4;Finished Products
Manganese from Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chromium from Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nickel from Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Molibdenium from Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Copper from Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Silicon from market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vanadium from market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Titanium from market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Niobium from market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aluminium from market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zinc from Market;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limestone from Market;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Process Gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuel Oil from Market;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;
Diesel from Market;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;
Ethanol from Market;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;
Biodiesel from Market;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;
Natural gas from Market;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;
LPG from Market;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;
